1501416,51.508464,-0.076062,69005233@N00,1995/2/1 0:00,16,Raven,england black bird london tower guard raven toweroflondon ckpb scannedprint curiouskiwi brendaanderson curiouskiwi:posted=2004,https://live.staticflickr.com/2/1501416_165b72b6fd_m.jpg
2700858,51.508464,-0.076062,69005233@N00,1995/2/1 0:00,16,Raven in the Tower,england blackandwhite bird london raven toweroflondon scannedprint curiouskiwi intop40set brendaanderson curiouskiwi:posted=2004,https://live.staticflickr.com/3/2700858_13f034fa27_m.jpg
5316684,51.493307,-0.043816,75062596@N00,2003/12/17 10:21,15,View of Canary Wharf from my London SE16 'hood,london canarywharf architecture greenlanddock docklands birds dscn0348,https://live.staticflickr.com/4/5316684_5dc4c70592_m.jpg
9533386,51.509637,-0.09864,33642498@N00,2002/11/30 13:59,16,Num Num,england sky bird london topf25 topf50 seagull fv5 utata ppv pph bloggedaa m氓se gap095 aquiali:a=1,https://live.staticflickr.com/4/9533386_4c649610be_m.jpg
18720947,51.50475,-0.07865,71088526@N00,2005/6/11 15:39,16,Tiny little tourists,high tourist birdseyeview geotagged geolat51505020 geolon0079430,https://live.staticflickr.com/12/18720947_01347633db_m.jpg
20702237,51.505644,-0.071754,58109753@N00,2005/6/21 15:17,16,Tower Bridge from above,uk bridge london thames towerbridge river geotagged abovealtitude summertime birdseye geolat51505644 geolon0071754,https://live.staticflickr.com/16/20702237_bdf785e90c_m.jpg
32417306,51.50475,-0.07865,71088526@N00,2005/8/7 13:27,16,Sole soul,pottersfields cityhall southbank thames aerial birdseyeview,https://live.staticflickr.com/21/32417306_90e1d92611_m.jpg
36334840,51.508351,-0.099241,80557886@N00,2005/8/20 15:32,16,Telescope at the Tate,people blackandwhite bw london tate candid tatemodern telescope birdwatching 0011 nod,https://live.staticflickr.com/23/36334840_329789961b_m.jpg
50456329,51.508902,-0.103425,80991778@N00,2005/10/8 12:44,12,by-the-sea,seagulls beach birds nikon d70 bank shore dslr,https://live.staticflickr.com/30/50456329_0a7b4a5d60_m.jpg
51146720,51.508088,-0.076625,94956595@N00,2003/11/7 11:10,14,0175 07-11-2003 London,2003 greatbritain november england london birds toweroflondon 20031107,https://live.staticflickr.com/30/51146720_4d1610395c_m.jpg
51147539,51.508021,-0.076367,94956595@N00,2003/11/7 11:20,14,0183 07-11-2003 London,2003 greatbritain november england london birds toweroflondon ravens 20031107,https://live.staticflickr.com/29/51147539_1b42c14fd1_m.jpg
51153013,51.508395,-0.098297,94956595@N00,2003/11/7 13:25,14,0259 07-11-2003 London,2003 greatbritain november england london birds riverthames 20031107,https://live.staticflickr.com/26/51153013_1c54349d7b_m.jpg
53775355,51.508055,-0.076668,29498428@N00,2005/10/18 8:11,16,Quoth the Raven,london birds raven toweroflondon animals uk england bird animal europe nikond70 unitedkingdom spitalfields gbr landscapeorientation 28300mmf3563 towerward photography photo,https://live.staticflickr.com/65535/53775355_6df772ca0a_m.jpg
56297521,51.509517,-0.09274,18266318@N00,2005/10/26 16:53,13,Unhappy Pigeon,bird pigeon thames london scabby,https://live.staticflickr.com/32/56297521_ffa435f8a8_m.jpg
56860241,51.469224,-0.081673,19813842@N00,2005/10/28 12:40,16,Yellow Ladybirds Hibernating - Denmark Hill,insects ladybirds bugs wildlife,https://live.staticflickr.com/29/56860241_c16987d13c_m.jpg
56860242,51.469224,-0.081673,19813842@N00,2005/10/28 12:56,16,Ladybirds Hibernating - Denmark Hill,insects ladybirds bugs wildlife,https://live.staticflickr.com/24/56860242_b296753350_m.jpg
